Curriculum,BMCS - Marine and Coastal Science (BS)
Institution,UC Davis
Degree Type,BS
System Type,quarter
CIP,30.3201
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,BIS 002B Introduction to Biology,BIS,002B,"","","",5,,,4
2,BIS 002A Introduction to Biology,BIS,002A,"","","",5,,,3
3,BIS 002C Introduction to Biology,BIS,002C,1,"","",5,,,5
4,CHE 002A General Chemistry,CHE,002A,"","","",5,,,1
5,CHE 002B General Chemistry,CHE,002B,4,"","",5,,,3
6,CHE 002C General Chemistry,CHE,002C,5,"","",5,,,3
7,CHE 008B Organic Chemistry-Brief,CHE,008B,8,"","",4,,,7
8,CHE 008A Organic Chemistry-Brief,CHE,008A,5,"","",2,,,6
9,MAT 017A Calculus for BioSci,MAT,017A,"","","",4,,,2
10,MAT 017B Calculus for BioSci,MAT,017B,9,"","",4,,,2
11,MAT 017C Calculus for BioSci,MAT,017C,10,"","",4,,,4
12,PHY 007A General Physics,PHY,007A,"",10,"",4,,,6
13,PHY 007B General Physics,PHY,007B,12,"","",4,,,8
14,PHY 007C General Physics,PHY,007C,13,"","",4,,,9
15,STA 100 Applied Stat for Bio Sci,STA,100,10,"","",4,,,6
16,GEL 116N Oceanography,GEL,116N,23,"","",3,,,8
17,BIS 101 Genes & Gene Expression,BIS,101,2;1;8;15,"","",4,,,7
18,BIS 104 Cell Biology,BIS,104,17;19,"","",3,,,10
19,BIS 102 Struc & Func Biomolecule,BIS,102,2;7,"","",3,,,9
20,BIS 103 Bioenergetics/Metabolism,BIS,103,19,"","",3,,,10
21,EVE 120 Global Change Ecology,EVE,120,24;25,"","",3,,,9
22,EVE 199 Special Study,EVE,199,"","","",5,,,9
23,GEL 016 The Oceans,GEL,016,"","","",3,,,2
24,EVE 100 Intro to Evolution,EVE,100,2;1;3;9;10,"","",4,,,10
25,EVE 101 Introduction to Ecology,EVE,101,2;1;3;9;10,"","",4,,,9
