Curriculum,LPHY - Physics (BS)
Institution,UC Davis
Degree Type,BS
System Type,quarter
CIP,40.0801
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,PHY 104A Intro Math Phys,PHY,104A,29;22;24;26,"","",4,,,7
2,PHY 105A Analytical Mechanic,PHY,105A,29;22;24;26,"","",4,,,7
3,PHY 105B Analytical Mechanic,PHY,105B,1;2,"","",4,,,8
4,PHY 110A Electricity & Magnetism,PHY,110A,29;22;24;26;1;2,"","",4,,,8
5,PHY 110B Electricty & Magnetsm,PHY,110B,4;1,"","",4,,,9
6,PHY 110C Electricty & Magnetsm,PHY,110C,5,"","",4,,,10
7,PHY 112 Thermo & Stat Physics,PHY,112,8,"","",4,,,10
8,PHY 115A Quantum Mechanics,PHY,115A,1;2,"","",4,,,9
9,PHY 115B Quantum Mechanics,PHY,115B,8,"","",4,,,10
10,PHY 102 Computationl Lab Phyiscs,PHY,102,22;24;26;31;27,1,"",1,,,7
11,PHY 199 Special Study,PHY,199,"","","",5,,,8
12,PHY 116A Electronics,PHY,116A,32;26,"","",4,,,8
13,PHY 116B Electronics,PHY,116B,32,"","",4,,,8
14,PHY 116C Computers in Phys Expts,PHY,116C,31;13;26,"","",4,,,9
15,PHY 140A Solid State Physics,PHY,140A,8,"","",4,,,11
16,PHY 130A Elem Part Physics,PHY,130A,8,"","",4,,,11
17,PHY 140B Solid State Physics,PHY,140B,8,"","",4,,,12
18,PHY 129A Intro Nuclear Phys,PHY,129A,8,"","",4,,,12
19,PHY 155 General Relativity,PHY,155,1;2;3;4,"","",4,,,11
20,MAT 021B Calculus,MAT,021B,23,"","",4,,,1
21,MAT 021C Calculus,MAT,021C,20,"","",4,,,2
22,MAT 021D Vector Analysis,MAT,021D,21,"","",4,,,3
23,MAT 021A Calculus,MAT,021A,"","","",4,,,1
24,MAT 022A Linear Algebra,MAT,022A,21,25,"",3,,,4
25,MAT 022AL Linear Algebra Comp Lab,MAT,022AL,21,"","",1,,,4
26,MAT 022B Differential Equations,MAT,022B,24,"","",3,,,5
27,PHY 040 Intr Physics Computation,PHY,040,"","","",4,,,6
28,PHY 080 Experimental Techniques,PHY,080,31,"","",4,,,9
29,PHY 009B Classical Physics,PHY,009B,30;21,22,"",5,,,4
30,PHY 009A Classical Physics,PHY,009A,20,"","",5,,,3
31,PHY 009D Modern Physics,PHY,009D,32;24,"","",4,,,6
32,PHY 009C Classical Physics,PHY,009C,29;22;24,"","",5,,,5
